answer	qid
in a lair	fables-06-1
The Mouse terrified	fables-06-2
do anything for him amused the Lion so much that he laughed aloud	fables-06-3
for game	fables-06-4
the Lion	fables-06-5
because a mouse ran into the face of the lion	fables-06-6
A trapper	fables-06-7
The lion	fables-06-8
gnawing the rope of the net with the tooth of the mouse	fables-06-9
Louisiana	blogs-03-1
The storm	blogs-03-2
Winds	blogs-03-3
President Bush	blogs-03-4
in Louisiana	blogs-03-5
The narrator went back to a store named Home Depot in order to purchase a portable generator .	blogs-03-6
had a large group of pine trees	blogs-03-7
because it owned a group of trees	blogs-03-8
The narrator brought the family of the narrator to the house of the parent of the narrator .	blogs-03-9
activated	blogs-06-1
treats	blogs-06-2
The husband of the narrator	blogs-06-3
shut the door of the oven in order to prevent the fire spreading	blogs-06-4
we	blogs-06-5
malfunctioned	blogs-06-6
malfunctioned	blogs-06-7
was toast	blogs-06-8
using a plug-in burner , griddle , and counter top oven	blogs-06-9
on a branch of a tree with a piece of cheese in her beak	fables-01-1
observed her	fables-01-2
A Crow a Fox	fables-01-3
observed the crow	fables-01-4
The fox came and stood under the tree .	fables-01-5
flattered her	fables-01-6
The crow	fables-01-7
A Lion	fables-02-1
The Bull	fables-02-2
in a meadow	fables-02-3
The bull	fables-02-4
A lion	fables-02-5
The lion	fables-02-6
A Lion mouth	fables-02-7
The Bull	fables-02-8
watched the bull	fables-02-9
because the lion feared sharp every horn of the bull	fables-02-10
attack the bull because the lion feared sharp every horn of the bull	fables-02-11
A summit meeting named G20 summit started on eventful today .	blogs-01-1
named G20 summit	blogs-01-2
The people protested peacefully on a street .	blogs-01-3
burned a police car	blogs-01-4
The people	blogs-01-5
The people	blogs-01-6
burned a police car	blogs-01-7
The people	blogs-01-8
The people burned a police car and threw a thing at a police .	blogs-01-9
burned	blogs-01-10
smash windows of stores	blogs-01-11
smash windows of stores	blogs-01-12
smash windows of stores	blogs-01-13
A Fox	fables-04-1
invited a Stork to dinner , at which the only fare provided was a large flat dish of soup	fables-04-2
The fox only served some soup in a flat and large dish .	fables-04-3
A clever fox	fables-04-4
The fox only served some soup in a flat and large dish .	fables-04-5
because he was n't able to reach some food that was in the pitcher	fables-04-6
fitted the long bill of the stork into the long and narrow neck of the pitcher	fables-04-7
while she enjoyed her dinner	fables-04-8
was a group of students and a narrator	blogs-05-1
checked the group of students for presence	blogs-05-2
The narrator	blogs-05-3
resumed teaching	blogs-05-4
The narrator	blogs-05-5
lifted the slip	blogs-05-6
What	blogs-05-7
thought I	blogs-05-8
do	blogs-05-9
which	fables-05-1
about his yard	fables-05-2
It	fables-05-3
The agriculturist set a	fables-05-4
The agriculturist tied some fiber onto the tail of the fox and in order to retaliate .	fables-05-5
The agriculturist	fables-05-6
ignited	fables-05-7
The agriculturist	fables-05-8
The young man died on the spot of the yard of the narrator .	blogs-02-1
The young man died on the spot of the yard of the narrator .	blogs-02-2
I	blogs-02-3
because it wanted the young man to know the narrator regretting that it had not aided him	blogs-02-4
The narrator entered the house of the narrator and heard that the asleep family of the narrator was asleep .	blogs-02-5
A young man long ago crashed the motorbike of the young man on the front yard of a narrator and broke the neck of the young man .	blogs-02-6
mind	blogs-02-7
A young man	blogs-02-8
The narrator	blogs-02-9
A young man long ago crashed the motorbike of the young man on the front yard of a narrator and broke the neck of the young man .	blogs-02-10
was an orb	blogs-02-11
saw some bright flash in a group of trees that was above the narrator	blogs-02-12
The squirrel	blogs-04-1
The squirrel	blogs-04-2
The squirrel 's paw	blogs-04-3
bathed themselves in the bowl	blogs-04-4
Squirrels	blogs-04-5
I	blogs-04-6
is one of those times I wish I had a digital camera	blogs-04-7
birds	blogs-04-8
The birds literally line up on the railing and wait their turn .	blogs-04-9
An Eagle	fables-03-1
An Eagle	fables-03-2
seized it in his talons with the intention of carrying it off and devouring it	fables-03-3
A countryman witness	fables-03-4
The serpent spat some poison in the drinking vessel .	fables-03-5
The serpent spat some poison in the drinking vessel .	fables-03-6
The countryman	fables-03-7
The eagle	fables-03-8
spilled the drinking vessel	fables-03-9
Heated with his exertions , the man was about to slake his thirst with a draught from the horn , when the Eagle knocked it out of his hand , and spilled its contents upon the ground .	fables-03-10
slake his thirst with a draught from the horn , when the Eagle knocked it out of his hand , and spilled its contents upon the ground	fables-03-11
the Serpent spat some of his poison into the man 's drinking-horn	fables-03-12
in a beautiful pond	mc500.train.25.0
Will stopped singing and went outside .	mc500.train.111.0
had a good laugh at a very silly looking dog	mc500.train.111.1
She went to Miami to visit some friends .	mc500.train.0.1
ordered a salad	mc500.train.0.2
Kristin	mc500.train.0.3
